COUNTY_ID,COUNTY,COLUMN1,COLUMN2,COLUMN3,COLUMN4,INFO_TIME
縣市代碼,縣市名稱,犯罪人口率,少年犯罪人口率,青年犯罪人口率,成年犯罪人口率,資料時間
65000,新北市,507.37,370.06,951.39,539.27,"110Y"
63000,臺北市,1561.98,959.31,3517.71,1667.22,"110Y"
68000,桃園市,875.28,486.35,1403.01,989.19,"110Y"
66000,臺中市,1004.03,759.02,1936.22,1078.4,"110Y"
67000,臺南市,1483.23,852.39,2526,1612.1,"110Y"
64000,高雄市,1062.13,881.14,1995.16,1117.86,"110Y"
10002,宜蘭縣,1796.01,1497.68,3362.3,1881.73,"110Y"
10004,新竹縣,1087.45,688.88,1734.71,1247.14,"110Y"
10005,苗栗縣,897.88,585.02,1344.21,986.28,"110Y"
10007,彰化縣,1204.92,786.59,1845.31,1327.98,"110Y"
10008,南投縣,1424.78,951.9,2419.51,1511.75,"110Y"
10009,雲林縣,1204.3,890.61,1881.78,1290.07,"110Y"
10010,嘉義縣,1527.6,940.61,2378.16,1612.84,"110Y"
10013,屏東縣,1135.24,968.69,1723.6,1206.49,"110Y"
10014,臺東縣,1107.67,982.03,1758.07,1179.6,"110Y"
10015,花蓮縣,1112.54,1056.23,1749.25,1188.68,"110Y"
10016,澎湖縣,1256.76,1141.58,1816.33,1334.02,"110Y"
10017,基隆市,1604.53,2020.79,2859.13,1629.42,"110Y"
10018,新竹市,1064.54,778.39,2248.37,1172.39,"110Y"
10020,嘉義市,1563.12,1148.92,2830,1674.99,"110Y"
09020,金門縣,1046.3,1070.92,2154.23,1025.81,"110Y"
09007,連江縣,950.82,744.19,768.12,1088.08,"110Y"
