COUNTY_ID,COUNTY,COLUMN1,COLUMN2,COLUMN3,COLUMN4,INFO_TIME
縣市代碼,縣市名稱,犯罪人口率,少年犯罪人口率,青年犯罪人口率,成年犯罪人口率,資料時間
65000,新北市,920,610.64,1536.59,997.64,"107Y"
63000,臺北市,1647.81,715.21,2868.73,1847.37,"107Y"
68000,桃園市,829.73,337.74,1007.82,990.06,"107Y"
66000,臺中市,962.37,556.37,1549.62,1081.61,"107Y"
67000,臺南市,1346.29,574.17,2079.96,1499.8,"107Y"
64000,高雄市,1124.31,604.52,1740.74,1238.47,"107Y"
10002,宜蘭縣,1605.79,1012.93,1928.79,1809.88,"107Y"
10004,新竹縣,1385.89,797.88,1585.5,1670.51,"107Y"
10005,苗栗縣,1149.21,592.63,1464.38,1310.38,"107Y"
10007,彰化縣,1311.81,665.69,1500.26,1523.5,"107Y"
10008,南投縣,1280.26,1041.6,1843.49,1374.06,"107Y"
10009,雲林縣,1215.93,465.72,1599.19,1372.74,"107Y"
10010,嘉義縣,1556,719.13,1688.27,1743.46,"107Y"
10013,屏東縣,1364.07,629.64,1588.29,1535.87,"107Y"
10014,臺東縣,1431.83,891.99,1916.68,1593.21,"107Y"
10015,花蓮縣,1872.17,1111.99,2995.4,2034.68,"107Y"
10016,澎湖縣,1043.58,840.1,1270.23,1135.4,"107Y"
10017,基隆市,1864.58,1106.31,2779.13,2016.6,"107Y"
10018,新竹市,1077.62,711.93,2343.88,1188.88,"107Y"
10020,嘉義市,1472.44,538.73,2005.89,1710.01,"107Y"
09020,金門縣,733.57,384.02,820.08,813.64,"107Y"
09007,連江縣,840.53,504.2,713.56,981.07,"107Y"
