COUNTY_ID,COUNTY,COLUMN1,COLUMN2,COLUMN3,COLUMN4,INFO_TIME
縣市代碼,縣市名稱,犯罪人口率,少年犯罪人口率,青年犯罪人口率,成年犯罪人口率,資料時間
65000,新北市,822.1,572.13,1167.6,914.25,"104Y"
63000,臺北市,1477.72,743.06,2526.74,1658.08,"104Y"
68000,桃園市,808.19,505.33,1114.89,936.15,"104Y"
66000,臺中市,923.53,611.45,1190.1,1070.72,"104Y"
67000,臺南市,1204.67,575.53,1632.68,1369.71,"104Y"
64000,高雄市,1072.17,670.72,1552.08,1192.39,"104Y"
10002,宜蘭縣,1461.24,829.91,1704.59,1680.7,"104Y"
10004,新竹縣,1089.96,1042.82,1458.8,1251.36,"104Y"
10005,苗栗縣,1152.21,705.68,1171.57,1361.62,"104Y"
10007,彰化縣,1093.8,555.3,1147.9,1297.85,"104Y"
10008,南投縣,1152.76,713.27,1123.62,1330.09,"104Y"
10009,雲林縣,1077.59,528.49,1035.71,1266.91,"104Y"
10010,嘉義縣,1321.43,795.21,1378.81,1493.63,"104Y"
10013,屏東縣,1299.57,632.3,1458.68,1484.69,"104Y"
10014,臺東縣,1481.69,1357.99,1941.49,1624.19,"104Y"
10015,花蓮縣,1723.94,1305.2,2653.21,1874.01,"104Y"
10016,澎湖縣,1003.62,641.82,1308.11,1110.31,"104Y"
10017,基隆市,1815.4,1305.69,2374.02,1988.36,"104Y"
10018,新竹市,1186.31,788.88,2358.47,1334.93,"104Y"
10020,嘉義市,1342.82,893.84,1800.22,1541.54,"104Y"
09020,金門縣,730.84,1144.13,1218.57,718.08,"104Y"
09007,連江縣,367.22,,490.44,430.94,"104Y"
