COUNTY_ID,COUNTY,COLUMN1,COLUMN2,COLUMN3,COLUMN4,INFO_TIME
縣市代碼,縣市名稱,犯罪人口率,少年犯罪人口率,青年犯罪人口率,成年犯罪人口率,資料時間
65000,新北市,888.6,768.58,1589.1,943.73,"112Y"
63000,臺北市,1788.58,1066.41,3991.78,1911.21,"112Y"
68000,桃園市,911.43,587.2,1398.06,1025.42,"112Y"
66000,臺中市,992.83,850.4,2035.49,1050.43,"112Y"
67000,臺南市,1588.17,913.14,3216.97,1687.44,"112Y"
64000,高雄市,882.94,704.49,1614.35,936.82,"112Y"
10002,宜蘭縣,1820.12,1748.51,3221.32,1914.73,"112Y"
10004,新竹縣,1049.59,676.52,1666.71,1200.67,"112Y"
10005,苗栗縣,1367.85,1035.88,2144.25,1480.79,"112Y"
10007,彰化縣,1475.11,1143.78,2227.43,1611.5,"112Y"
10008,南投縣,1767.97,1324.06,3153.43,1856.75,"112Y"
10009,雲林縣,1332.92,842.92,2098.23,1433.33,"112Y"
10010,嘉義縣,1662.35,1324.05,2778.41,1722.9,"112Y"
10013,屏東縣,1210.77,863.03,1913.21,1292.65,"112Y"
10014,臺東縣,1597.28,1990.96,2626.51,1661.96,"112Y"
10015,花蓮縣,1295.76,1415.22,2386.96,1345.1,"112Y"
10016,澎湖縣,1499.8,1640.95,2819.49,1512.49,"112Y"
10017,基隆市,1746.94,1844.47,2847.47,1823.82,"112Y"
10018,新竹市,1303.48,950.13,2478.72,1454.57,"112Y"
10020,嘉義市,1865.5,979.31,3583.33,2008.26,"112Y"
9020,金門縣,974.62,1630.55,2051.51,925.58,"112Y"
9007,連江縣,1249.02,1224.85,3815.26,1151.61,"112Y"
