COUNTY_ID,COUNTY,COLUMN1,COLUMN2,COLUMN3,COLUMN4,INFO_TIME
縣市代碼,縣市名稱,犯罪人口率,少年犯罪人口率,青年犯罪人口率,成年犯罪人口率,資料時間
65000,新北市,817.17,555.61,1359.01,887.36,"105Y"
63000,臺北市,1535.3,717.59,2636.15,1725.74,"105Y"
68000,桃園市,787.06,426.63,1105.04,916,"105Y"
66000,臺中市,960.32,470.39,1338.3,1115.76,"105Y"
67000,臺南市,1174.74,521.4,1660.71,1328.15,"105Y"
64000,高雄市,1033.59,643.55,1621.79,1133.44,"105Y"
10002,宜蘭縣,1607.81,1075.16,1997.96,1810.5,"105Y"
10004,新竹縣,1188.59,774.2,1706.82,1387.05,"105Y"
10005,苗栗縣,1106.04,604.63,1076.98,1309.77,"105Y"
10007,彰化縣,1176.76,604.07,1253.98,1387.87,"105Y"
10008,南投縣,1221.5,762.4,1304.65,1388.75,"105Y"
10009,雲林縣,1130.87,496.18,1147,1322.46,"105Y"
10010,嘉義縣,1370.61,739.71,1668,1524.18,"105Y"
10013,屏東縣,1299.55,637.99,1426.97,1480.68,"105Y"
10014,臺東縣,1395.14,1079.49,1914.32,1531.73,"105Y"
10015,花蓮縣,1776.25,1177.36,2876.12,1928.46,"105Y"
10016,澎湖縣,1114.96,1488.71,1549.77,1159.31,"105Y"
10017,基隆市,1730.97,1179.58,2775.96,1842.65,"105Y"
10018,新竹市,1132.66,726.19,2232.07,1275.45,"105Y"
10020,嘉義市,1406.78,870.31,1947.95,1607.34,"105Y"
09020,金門縣,823.4,1179.53,1017.01,867.34,"105Y"
09007,連江縣,485.24,445.43,601.2,542.12,"105Y"
