COUNTY_ID,COUNTY,COLUMN1,COLUMN2,COLUMN3,COLUMN4,INFO_TIME
縣市代碼,縣市名稱,犯罪人口率,少年犯罪人口率,青年犯罪人口率,成年犯罪人口率,資料時間
65000,新北市,717.52,520.81,1213.37,773.97,"111Y"
63000,臺北市,1673.14,933.48,3683.63,1796.17,"111Y"
68000,桃園市,1074.47,645.45,1711.58,1209.12,"111Y"
66000,臺中市,1030.39,724.36,2004.07,1110.22,"111Y"
67000,臺南市,1579.36,713.88,2993.66,1704.47,"111Y"
64000,高雄市,970.03,699.23,1761.76,1033.88,"111Y"
10002,宜蘭縣,1847.17,1466.66,3265.61,1960.82,"111Y"
10004,新竹縣,1160.99,841.05,1674.88,1338.48,"111Y"
10005,苗栗縣,1231.89,841.72,1712.88,1360.45,"111Y"
10007,彰化縣,1312.34,873.91,1856.56,1457.17,"111Y"
10008,南投縣,1777.1,1086.91,3002.04,1894.23,"111Y"
10009,雲林縣,1457.78,1091.91,2383.23,1549.76,"111Y"
10010,嘉義縣,1675.64,1158.84,2558.3,1765.72,"111Y"
10013,屏東縣,1204.88,787.06,1757.4,1301.83,"111Y"
10014,臺東縣,1456.55,1340.11,2489.63,1534.11,"111Y"
10015,花蓮縣,1468.18,1526.77,2745.19,1523.45,"111Y"
10016,澎湖縣,1253.96,1181.89,2076.01,1301.31,"111Y"
10017,基隆市,1734.8,1486.2,3154.4,1802.11,"111Y"
10018,新竹市,1057.33,727.14,1920.73,1195.75,"111Y"
10020,嘉義市,1840.99,1070.57,3359.59,1991.17,"111Y"
09020,金門縣,1148.38,746.81,1777.07,1202.26,"111Y"
09007,連江縣,1172.72,916.59,2609.96,1176.74,"111Y"
