COUNTY_ID,COUNTY,COLUMN1,COLUMN2,COLUMN3,COLUMN4,INFO_TIME
縣市代碼,縣市名稱,犯罪人口率,少年犯罪人口率,青年犯罪人口率,成年犯罪人口率,資料時間
65000,新北市,647.9,515.75,1163.69,688.93,"109Y"
63000,臺北市,1692.21,1097.23,3502.34,1824.81,"109Y"
68000,桃園市,857.8,463.15,1172.22,993.02,"109Y"
66000,臺中市,1007.98,635.09,1782.46,1107.36,"109Y"
67000,臺南市,1475.84,800.53,2307.62,1624.39,"109Y"
64000,高雄市,1132.49,792.36,2031.08,1207.04,"109Y"
10002,宜蘭縣,1696.75,1538.21,2487.74,1830.21,"109Y"
10004,新竹縣,1325.63,866,1958.85,1534.5,"109Y"
10005,苗栗縣,895.92,477.66,1243.04,1003.07,"109Y"
10007,彰化縣,1239.63,827.48,1781.08,1377.02,"109Y"
10008,南投縣,1366.17,1326.36,2077.31,1439.32,"109Y"
10009,雲林縣,1277.89,700.97,1888.82,1397.02,"109Y"
10010,嘉義縣,1648.52,995.56,2582.94,1741.08,"109Y"
10013,屏東縣,1215.31,912.88,1864.55,1295.53,"109Y"
10014,臺東縣,1280.89,974.43,2162.1,1360.38,"109Y"
10015,花蓮縣,1467.83,1786.69,2647.82,1501.11,"109Y"
10016,澎湖縣,1253.08,1349.36,1701.21,1326.46,"109Y"
10017,基隆市,1637.27,2041.54,2980.1,1650.5,"109Y"
10018,新竹市,1047.31,676.27,2025.2,1178.25,"109Y"
10020,嘉義市,1442.02,1276.75,2386.61,1548.87,"109Y"
09020,金門縣,902.48,807.8,1198.53,958.31,"109Y"
09007,連江縣,849.51,1264.68,866.22,928.52,"109Y"
