表4　刑事案件發生數、破獲數及嫌疑犯人數－按案類別(續2),,,,,,"Table 4. Criminal Cases Known to the Police,
Cases Cleared and Number of Offenders - by Classification (Cont.2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：件；人,,,,,,,,,,"Unit:Cases,Persons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年(月)別,,,,總計,竊盜,贓物,賭博,傷害,詐欺背信,重利,妨害自由,殺人,駕駛過失,妨害婚姻及家庭,妨害風化,妨害性自主罪,內亂,恐嚇取財,擄人勒贖,侵占,偽造文書            印文,違反毒品危害防制條例,毀棄損壞,妨害公務,強盜搶奪,竊佔,偽造有價證券,妨害秩序,違反藥事法,違反國家    總動員法,違反        森林法,違反        著作權法,違反     商標法,公共危險,侵害     墳墓屍體,妨害名譽,違反       選罷法,妨害秘密,遺棄,懲治    走私條例,違反貪汙        治罪條例,瀆職,妨害兵役,偽造貨幣,偽造度量衡,偽證,誣告,湮滅證據,藏匿頂替,脫逃,違反槍砲彈藥刀械管制條例,違反就業服務法,妨害電腦使用(2),其他,暴力犯罪(3)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"民國112年
,,破獲數,Cases Cleared,"21,388","2,917",4,159,"1,155","2,350",39,"1,069",16,"1,909",19,74,394,    －,38,     －,765,202,"3,236",482,99,14,59,3,89,16,    －,14,94,155,"3,875",    －,732,9,81,9,    －,    －,3,1,11,    －,2,49,    －,2,    －,90,2,81,"1,070",34
,,嫌疑犯,Offenders,"24,417","2,437",6,499,"1,439","3,928",58,"1,279",22,"1,987",13,86,379,    －,59,     －,660,225,"3,484",512,102,24,67,5,437,10,    －,27,107,174,"3,885",3,748,13,88,9,    －,    －,3,    －,20,    －,2,38,    －,3,    －,90,2,74,"1,413",52
　　  5月 May,,發生數,Cases Known to the Police,"25,299","3,636",6,172,"1,406","3,793",55,"1,349",15,"2,353",29,50,448,    －,62,     －,945,289,"3,032",642,94,18,68,3,84,16,    －,14,106,222,"3,658",5,946,1,108,19,    －,1,1,    －,5,    －,3,50,2,4,1,103,    －,190,"1,295",38
,,破獲數,Cases Cleared,"23,965","3,522",6,172,"1,353","3,251",47,"1,261",14,"2,296",28,46,447,    －,54,     －,886,257,"3,032",580,92,19,65,2,79,16,    －,13,108,205,"3,648",3,866,1,106,18,    －,1,1,    －,5,    －,3,54,2,4,1,102,    －,99,"1,200",37
,,嫌疑犯,Offenders,"26,652","2,992",7,456,"1,795","4,546",61,"1,512",14,"2,442",21,58,440,    －,74,     －,779,267,"3,228",570,85,23,91,    －,368,23,    －,39,146,224,"3,646",4,890,1,111,15,    －,1,2,    －,10,    －,2,56,2,4,1,105,    －,83,"1,458",39
　　  6月 June,,發生數,Cases Known to the Police,"21,759","3,145",8,123,"1,069","3,206",50,"1,075",13,"1,804",19,83,398,    －,38,1,826,230,"3,119",480,78,16,63,6,69,9,    －,18,115,162,"3,283",1,732,1,91,9,    －,    －,4,    －,8,    －,6,46,    －,6,1,84,    －,121,"1,143",36
,,破獲數,Cases Cleared,"21,767","3,189",8,123,"1,054","3,322",51,"1,058",15,"1,836",18,84,367,    －,46,1,826,230,"3,119",474,75,14,67,4,64,9,    －,17,104,150,"3,284",2,722,2,88,8,    －,    －,2,    －,8,    －,6,44,    －,6,1,83,    －,87,"1,099",36
,,嫌疑犯,Offenders,"23,969","2,656",9,311,"1,353","4,688",78,"1,290",22,"1,940",16,91,347,    －,74,1,716,253,"3,246",451,68,21,82,3,282,13,    －,28,115,168,"3,290",6,738,2,102,5,    －,    －,4,    －,10,    －,4,44,    －,9,1,80,    －,66,"1,286",43
　　  7月 July,,發生數,Cases Known to the Police,"24,106","3,388",9,176,"1,221","3,551",41,"1,322",22,"2,048",30,69,521,    －,66,     －,884,267,"3,239",574,89,21,76,5,62,6,    －,26,203,165,"3,206",    －,879,1,94,11,1,    －,    －,    －,2,    －,2,53,    －,2,    －,84,    －,178,"1,512",46
,,破獲數,Cases Cleared,"23,325","3,291",9,176,"1,145","3,421",43,"1,253",22,"2,018",23,64,497,    －,57,     －,834,240,"3,239",523,89,21,66,5,63,6,    －,27,195,163,"3,203",    －,843,1,84,11,1,    －,    －,    －,2,    －,2,51,    －,2,    －,85,    －,109,"1,441",52
,,嫌疑犯,Offenders,"25,922","2,809",13,581,"1,406","4,893",77,"1,467",35,"2,142",22,69,494,    －,65,     －,720,243,"3,369",495,81,34,72,5,241,4,    －,54,207,184,"3,232",    －,857,5,90,11,5,    －,    －,    －,1,    －,2,53,    －,2,    －,85,    －,78,"1,719",82
　　  8月 Aug.,,發生數,Cases Known to the Police,"24,624","3,459",6,185,"1,175","3,696",46,"1,315",20,"2,103",29,91,433,    －,50,     －,969,280,"3,281",605,77,13,73,4,68,11,    －,14,133,166,"3,458",    －,928,3,91,7,1,    －,2,    －,2,    －,3,45,    －,4,1,98,    －,201,"1,478",37
,,破獲數,Cases Cleared,"24,111","3,489",6,185,"1,141","3,654",42,"1,231",25,"2,081",30,90,442,    －,46,     －,867,245,"3,281",570,79,15,76,5,68,11,    －,13,122,154,"3,450",    －,868,3,83,8,1,    －,1,    －,2,    －,3,43,    －,4,1,98,    －,122,"1,456",37
,,嫌疑犯,Offenders,"27,382","3,017",9,781,"1,384","5,220",72,"1,422",56,"2,217",26,95,428,    －,87,18,753,329,"3,416",558,83,34,96,3,339,11,    －,21,138,182,"3,500",    －,901,4,84,8,1,    －,1,    －,2,    －,2,41,    －,4,1,88,    －,93,"1,857",105
　　  9月 Sept.,,發生數,Cases Known to the Police,"23,813","3,099",7,467,"1,207","3,654",50,"1,352",13,"2,009",26,63,406,    －,30,     －,"1,053",262,"3,184",665,78,24,65,3,62,12,    －,23,131,165,"3,034",1,985,3,72,4,    －,1,5,1,3,    －,3,56,    －,4,    －,84,    －,237,"1,210",41
,,破獲數,Cases Cleared,"22,536","3,085",7,467,"1,128","3,284",46,"1,235",11,"1,898",23,61,395,    －,24,     －,923,234,"3,184",618,76,22,60,3,54,12,    －,23,116,149,"3,021",    －,912,3,66,2,    －,1,6,1,3,    －,3,57,    －,4,    －,84,    －,107,"1,128",37
,,嫌疑犯,Offenders,"24,696","2,656",10,980,"1,365","4,366",68,"1,407",28,"1,991",25,69,391,    －,39,     －,811,203,"3,337",589,90,33,87,2,245,12,    －,38,115,187,"3,034",    －,850,3,60,1,    －,1,6,1,2,    －,4,47,    －,4,    －,78,    －,69,"1,392",56
　　 10月 Oct.,,發生數,Cases Known to the Police,"24,728","3,382",4,169,"1,326","3,742",51,"1,437",13,"2,045",32,65,449,    －,32,     －,943,264,"3,518",652,77,13,57,7,72,12,    －,10,123,252,"3,452",    －,930,9,79,9,1,    －,2,    －,1,    －,2,40,    －,6,1,96,    －,210,"1,143",31
,,破獲數,Cases Cleared,"24,301","3,349",4,169,"1,315","3,552",52,"1,411",14,"2,123",31,64,404,    －,33,     －,928,257,"3,518",640,79,17,61,7,75,12,    －,9,119,243,"3,453",1,906,9,79,9,1,    －,1,    －,1,    －,2,34,    －,6,1,97,    －,147,"1,068",37
,,嫌疑犯,Offenders,"26,027","2,925",4,405,"1,617","4,223",88,"1,652",43,"2,240",28,67,407,    －,50,     －,780,244,"3,709",612,76,41,59,4,335,15,    －,11,124,271,"3,468",2,864,23,81,13,4,    －,1,    －,2,    －,2,35,    －,7,2,91,    －,125,"1,277",88
　　 11月 Nov.,,發生數,Cases Known to the Police,"23,919","3,379",3,177,"1,259","3,687",44,"1,395",14,"2,129",22,66,453,    －,32,     －,938,275,"3,064",704,92,11,86,9,80,3,    －,4,112,121,"3,140",1,"1,001",14,73,15,    －,2,2,    －,6,    －,5,53,    －,    －,    －,87,    －,174,"1,187",29
,,破獲數,Cases Cleared,"23,506","3,338",3,177,"1,268","3,559",39,"1,372",17,"2,072",23,68,470,    －,29,     －,900,277,"3,064",673,91,11,87,6,80,3,    －,4,112,120,"3,136",    －,974,13,72,13,    －,2,3,    －,6,    －,5,57,    －,    －,    －,86,    －,123,"1,153",32
,,嫌疑犯,Offenders,"25,044","2,884",6,375,"1,677","3,943",63,"1,624",22,"2,211",22,79,462,    －,63,     －,792,223,"3,204",661,91,20,88,6,316,3,    －,5,117,129,"3,172",    －,"1,014",15,76,13,    －,1,6,    －,3,    －,5,59,    －,    －,    －,79,    －,103,"1,412",46
　　 12月 Dec.,,發生數,Cases Known to the Police,"22,693","3,178",4,592,"1,194","3,750",57,"1,303",23,"1,924",20,42,496,    －,29,     －,"1,003",264,"2,476",601,84,20,56,5,68,6,    －,17,90,92,"2,688",    －,898,29,68,9,    －,1,2,    －,5,    －,    －,54,1,4,    －,86,    －,147,"1,307",40
,,破獲數,Cases Cleared,"21,819","3,002",4,592,"1,125","3,590",53,"1,276",21,"1,877",20,44,431,    －,32,     －,884,252,"2,476",566,79,21,55,6,68,6,    －,17,86,82,"2,679",    －,863,29,69,8,    －,1,3,    －,5,    －,    －,49,1,4,    －,86,    －,89,"1,268",44
,,嫌疑犯,Offenders,"23,457","2,590",7,"1,028","1,452","3,878",82,"1,527",68,"2,010",18,50,431,    －,50,     －,758,232,"2,537",564,79,34,66,4,318,7,    －,28,99,84,"2,678",    －,875,44,67,7,    －,4,3,    －,5,    －,    －,48,    －,5,    －,89,    －,71,"1,560",101
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
