表4　刑事案件發生數、破獲數及嫌疑犯人數－按案類別(續9),,,,,"Table 4. Criminal Cases Known to the Police,
Cases Cleared and Number of Offenders - by Classification (Cont.9)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：件；人,,,,,,,,,"Unit:Cases,Persons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
機關別,,,總計,竊盜 ,贓物,賭博,傷害,詐欺背信,重利,妨害自由,殺人,駕駛過失,妨害婚姻及家庭,妨害風化,妨害性自主罪,內亂,恐嚇取財,擄人勒贖,侵占,偽造文書            印文,違反毒品危害防制條例,毀棄損壞,妨害公務,強盜搶奪,竊佔,偽造有價證券,妨害秩序,違反藥事法,違反國家    總動員法,違反        森林法,違反        著作權法,違反     商標法,公共危險,侵害     墳墓屍體,妨害名譽,違反       選罷法,妨害秘密,遺棄,懲治    走私條例,違反貪汙        治罪條例,瀆職,妨害兵役,偽造貨幣,偽造度量衡,偽證,誣告,湮滅證據,藏匿頂替,脫逃,違反槍砲彈藥刀械管制條例,違反就業服務法,妨害電腦使用(2),其他,暴力犯罪(3)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,嫌疑犯,Offenders,"8,457",805,4,139,546,"2,368",27,494,8,528,7,6,114,    －,27,     －,203,97,726,179,27,18,55,3,104,    －,    －,15,11,9,"1,130",2,185,15,29,6,    －,    －,    －,    －,2,    －,    －,11,    －,    －,2,34,    －,15,506,25
"雲　林　縣
Yunlin County",發生數,Cases Known to the Police,"8,335","1,243",4,90,334,"1,671",25,408,13,664,9,11,134,    －,20,     －,181,58,"1,077",168,32,4,28,    －,31,    －,    －,4,5,1,"1,405",    －,195,7,23,5,    －,    －,    －,    －,3,    －,1,11,    －,2,    －,31,    －,43,394,12
,破獲數,Cases Cleared,"7,811","1,182",4,52,341,"1,351",21,400,14,644,8,11,128,    －,16,     －,183,54,"1,034",154,32,4,23,1,31,    －,    －,5,6,    －,"1,407",    －,195,7,24,4,    －,    －,2,    －,5,    －,1,13,    －,1,    －,30,    －,25,398,13
,嫌疑犯,Offenders,"8,821","1,128",6,109,438,"1,689",36,470,22,731,10,15,127,    －,25,     －,180,58,"1,016",178,40,6,26,1,173,    －,    －,1,4,    －,"1,418",    －,211,10,30,4,    －,    －,    －,    －,10,    －,1,13,    －,1,    －,34,    －,18,582,17
"嘉　義　縣
Chiayi County",發生數,Cases Known to the Police,"6,247",875,1,123,317,798,22,331,8,552,7,6,85,    －,10,     －,118,56,830,169,15,5,23,    －,20,1,    －,    －,2,1,"1,101",2,169,17,9,3,    －,    －,    －,    －,1,    －,    －,10,1,1,    －,22,    －,27,509,14
,破獲數,Cases Cleared,"6,318",877,1,150,290,765,25,291,8,541,8,5,85,    －,8,     －,113,50,"1,041",155,14,5,22,    －,19,    －,    －,    －,2,1,"1,099",1,153,18,8,3,    －,    －,    －,    －,1,    －,    －,10,1,2,    －,19,    －,22,505,14
,嫌疑犯,Offenders,"8,085",915,1,215,423,"1,617",43,402,18,618,7,7,87,    －,13,     －,106,63,"1,035",197,20,8,27,    －,145,    －,    －,    －,1,1,"1,102",3,178,50,14,4,    －,    －,    －,    －,1,    －,    －,15,1,3,    －,30,    －,16,699,26
"屏　東　縣
Pingtung County",發生數,Cases Known to the Police,"9,532",904,4,122,555,638,23,614,8,934,10,12,229,    －,8,     －,266,90,"1,729",271,26,8,59,2,41,1,    －,2,3,2,"1,892",    －,317,14,34,4,    －,1,1,    －,4,    －,    －,14,    －,2,    －,51,    －,155,482,17
,破獲數,Cases Cleared,"8,813",869,1,94,499,560,20,550,7,911,9,11,210,    －,6,     －,240,76,"1,713",198,24,8,56,2,40,1,    －,2,2,    －,"1,889",    －,241,14,30,5,    －,1,1,    －,4,    －,    －,14,    －,2,    －,54,    －,29,420,16
,嫌疑犯,Offenders,"9,648",728,2,498,624,663,39,631,10,"1,011",7,12,204,    －,8,     －,195,70,"1,704",185,26,22,67,1,215,1,    －,5,2,    －,"1,881",    －,244,26,32,3,    －,1,1,    －,5,    －,    －,13,    －,2,    －,53,    －,24,433,32
"臺　東　縣
Taitung County",發生數,Cases Known to the Police,"3,404",503,1,20,201,529,    －,152,2,275,2,1,114,    －,6,     －,84,16,350,82,11,    －,10,    －,20,    －,    －,7,1,    －,742,1,61,1,7,2,    －,    －,1,    －,    －,    －,    －,6,    －,    －,    －,12,1,8,175,2
,破獲數,Cases Cleared,"3,277",479,2,31,199,427,    －,147,4,274,2,1,119,    －,6,     －,84,16,356,81,10,    －,10,    －,20,    －,    －,9,1,    －,741,1,61,    －,6,2,    －,    －,1,    －,    －,    －,    －,6,    －,    －,    －,12,    －,4,165,4
,嫌疑犯,Offenders,"3,387",421,3,50,293,382,    －,168,14,290,2,1,122,    －,7,     －,78,14,340,84,10,    －,12,    －,88,    －,    －,6,1,    －,738,4,63,    －,6,2,    －,    －,1,    －,    －,    －,    －,7,    －,    －,    －,9,    －,3,168,14
"花　蓮　縣
Hualien County",發生數,Cases Known to the Police,"5,037",790,8,21,345,723,5,335,3,172,13,7,175,    －,5,     －,165,58,681,194,36,4,17,    －,30,3,    －,2,2,2,735,    －,190,    －,16,    －,    －,1,1,    －,2,    －,1,5,    －,    －,    －,27,    －,26,237,8
,破獲數,Cases Cleared,"4,691",750,8,15,319,580,5,314,3,169,13,6,172,    －,5,     －,156,51,656,167,36,5,17,    －,30,3,    －,4,2,1,734,    －,176,1,16,    －,    －,1,    －,    －,2,    －,1,5,    －,    －,    －,23,    －,18,227,9
,嫌疑犯,Offenders,"4,123",466,6,13,249,717,8,279,7,203,6,5,147,    －,9,     －,83,31,554,133,29,13,15,    －,56,2,    －,1,    －,1,726,    －,105,1,7,    －,    －,4,    －,    －,    －,    －,    －,1,    －,    －,    －,16,    －,12,218,21
