表6　刑事案件嫌疑犯人數－按案類及年齡層別(續1),,,,Table 6. Criminal Cases Offenders - by Classification and Age (Cont.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年別,,總計,竊盜 ,贓物,賭博,傷　害 ,詐欺背信,重利,妨害自由,殺　　人 Homicide,駕駛過失,妨害婚姻及家庭,妨害     風化,妨害性自主罪 ,內亂,恐嚇取財,擄人勒贖,侵占,偽造     文書印文,違反毒品危害防制條例,毀棄損壞,妨害公務,強盜搶奪 ,竊佔,偽造       有價證券,妨害秩序,違反         藥事法,違反國家總動員法,違反      森林法,違反       著作權法,違反      專利法,違反    商標法,公共危險,侵害    墳墓屍體,妨害名譽,違反    選罷法,妨害秘密,遺棄,懲治     走私條例,違反貪汙治罪條例,瀆職,妨害兵役,偽造貨幣,偽造      度量衡,偽證,誣告,湮滅證據,藏匿頂替,脫逃,違反槍砲彈業刀械管制條例,違反就業服務法,妨害電腦使用(3),其他,暴力犯罪(4)
成年,Adult,"242,472","27,730",232,"9,981","12,100","17,111","1,026","7,118",493,"11,901",648,"1,557","1,723",    －,838,12,"3,781","2,479","53,082","3,196","1,346",524,779,78,195,548,    －,478,"2,467",    －,"1,851","62,557",6,"4,847",    －,430,101,23,5,20,2,64,    －,24,375,18,22,6,"1,327",10,307,"9,054","1,210"
不詳,Unknown,26,     －,       －,       －,2,2,    －,    －,    －,    －,    －,    －,2,    －,    －,    －,1,    －,4,    －,    －,    －,    －,    －,    －,3,    －,    －,3,    －,2,4,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,     －,    －,    －,3,     －
民國107年 2018,,"291,621","32,028",175,"9,988","16,180","28,169",621,"9,731",849,"15,535",795,"1,743","3,123",    －,"1,150",35,"5,154","2,668","59,106","4,367","1,585",560,838,76,725,334,    －,332,"2,806",    －,"1,849","65,176",    －,"6,849","5,543",574,116,9,9,29,    －,99,    －,38,453,23,59,11,"1,598",14,446,"10,053","1,666"
兒童,Child,383,183,       －,       －,56,7,    －,2,    －,14,2,    －,70,    －,5,    －,3,1,2,4,    －,    －,1,    －,    －,    －,    －,    －,    －,    －,    －,4,    －,7,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,1,    －,    －,    －,     －,    －,5,16,7
少年,Juvenile,"8,893","1,795",12,114,"1,098","1,381",9,343,79,292,25,13,617,    －,111,    －,117,55,847,225,27,43,    －,3,133,    －,    －,1,9,    －,20,611,    －,205,8,36,    －,    －,    －,    －,    －,2,    －,    －,7,1,3,1,40,    －,51,559,158
青年,Young Adult,"32,685","2,264",15,981,"2,400","7,291",98,"1,225",250,"1,986",90,129,674,    －,272,12,429,224,"5,934",661,155,128,9,6,315,31,    －,9,88,    －,204,"4,244",    －,940,75,105,14,1,    －,2,    －,14,    －,1,36,4,8,    －,284,    －,82,995,467
成年,Adult,"249,643","27,786",148,"8,893","12,625","19,490",514,"8,161",520,"13,241",678,"1,601","1,759",    －,762,23,"4,604","2,388","52,323","3,477","1,403",389,828,67,277,302,    －,322,"2,708",    －,"1,625","60,309",    －,"5,697","5,460",433,102,8,9,27,    －,83,    －,37,409,18,48,10,"1,274",14,308,"8,483","1,034"
不詳,Unknown,17,     －,       －,       －,1,    －,    －,    －,    －,2,    －,    －,3,    －,    －,    －,1,    －,    －,    －,    －,    －,    －,    －,    －,1,    －,    －,1,    －,    －,8,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,     －,    －,    －,     －,     －
民國108年 2019,,"277,664","31,398",121,"9,792","18,381","30,469",962,"10,921",806,"16,888",849,"1,372","3,194",    －,992,18,"5,639","2,671","49,131","4,838","1,565",476,704,74,680,335,    －,365,"2,126",    －,"2,219","59,918",5,"7,302",375,678,102,21,9,30,    －,67,    －,53,435,18,49,6,"1,340",9,553,"9,708","1,464"
兒童,Child,430,220,       －,       －,53,14,    －,5,    －,20,    －,1,64,    －,2,    －,5,1,3,9,    －,    －,    －,    －,    －,    －,    －,    －,1,    －,    －,5,    －,3,    －,2,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,2,    －,1,19,4
少年,Juvenile,"9,441","1,838",8,81,"1,283","1,629",28,371,46,283,33,7,593,    －,107,5,116,49,940,201,30,29,1,    －,167,1,    －,1,13,    －,20,562,    －,192,1,27,4,    －,    －,    －,    －,1,    －,    －,9,1,    －,    －,42,    －,35,687,119
青年,Young Adult,"32,447","2,274",13,896,"2,789","7,732",158,"1,502",245,"2,219",103,116,718,    －,215,3,485,222,"4,736",763,173,97,7,    －,228,25,    －,10,74,    －,215,"3,946",    －,864,11,114,10,    －,    －,2,    －,6,    －,2,29,5,10,1,253,    －,98,"1,078",400
成年,Adult,"235,334","27,064",100,"8,815","14,255","21,094",776,"9,043",515,"14,365",713,"1,248","1,818",    －,668,10,"5,033","2,399","43,448","3,865","1,362",350,696,74,285,309,    －,354,"2,038",    －,"1,984","55,402",5,"6,243",363,535,88,21,9,28,    －,60,    －,51,397,12,39,5,"1,043",9,419,"7,924",941
不詳,Unknown,12,2,       －,       －,1,    －,    －,    －,    －,1,    －,    －,1,    －,    －,    －,    －,    －,4,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,3,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,     －,    －,    －,     －,     －
民國109年 2020,,"281,811","29,128",120,"8,555","16,330","35,091","1,642","11,633",632,"17,519",537,"1,155","4,002",    －,945,5,"6,077","2,892","47,779","4,755","1,517",480,947,84,"5,995",769,    －,322,"2,065",    －,"2,362","54,251",5,"8,311",400,804,89,11,15,41,2,42,    －,50,466,15,55,16,"1,353",7,762,"11,778","1,195"
兒童,Child,219,104,       －,       －,30,7,    －,5,    －,3,    －,    －,27,    －,    －,    －,2,1,1,10,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,1,    －,3,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,1,    －,    －,    －,     －,    －,5,19,4
